urn:lsid:ipni.org:names:327194-2,Cladotrichium stipulare,Vogel,spec.,Caesalpiniaceae,,urn:lsid:ipni.org:names:327193-2,urn:lsid:ipni.org:publications:703-2,1837,Linnaea 11: 403. 1837 [Apr-May 1837] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327194-2
urn:lsid:ipni.org:names:327195-2,Cladotrichium rubicundum,Vogel,spec.,Caesalpiniaceae,,urn:lsid:ipni.org:names:327193-2,urn:lsid:ipni.org:publications:703-2,1837,Linnaea 11: 401. 1837 [Apr-May 1837] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327195-2
urn:lsid:ipni.org:names:327196-2,Alternanthera,Forssk.,gen.,Amaranthaceae,,urn:lsid:ipni.org:names:30000566-2,urn:lsid:ipni.org:publications:917-2,1775,Fl. Aegypt.-Arab. 28 (lix). 1775 [1 Oct 1775] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327196-2
urn:lsid:ipni.org:names:327197-2,Illecebrum,L.,gen.,Illecebraceae,,urn:lsid:ipni.org:names:30096385-2,urn:lsid:ipni.org:publications:1071-2,1753,"Sp. Pl. 1: 206. 1753 [1 Mai 1753] ; Gen. Pl. ed. 5, 97. 1754",tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327197-2
urn:lsid:ipni.org:names:327198-1,Brossaea nummularioides,(D.Don) Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 388. 1891 [5 Nov 1891] (as nummulariodes),comb. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327198-1
urn:lsid:ipni.org:names:327198-2,Illecebrum,Spreng.,gen.,Amaranthaceae,,urn:lsid:ipni.org:names:30000566-2,urn:lsid:ipni.org:publications:10112-2,1817,"Anleit. Kenntn. Gew., ed. 2. 2(1): 317. 1817 [20 Apr 1817] ",tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327198-2
urn:lsid:ipni.org:names:327199-2,Bergeretia,Bubani,gen.,Caryophyllaceae,,urn:lsid:ipni.org:names:30000815-2,urn:lsid:ipni.org:publications:1125-2,1901,Fl. Pyren. (Bubani) 3: 10. 1901 [Aug 1901] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327199-2
urn:lsid:ipni.org:names:3272-1,Clemensiella,Schltr.,gen.,Asclepiadaceae,,urn:lsid:ipni.org:names:50000053-1,urn:lsid:ipni.org:publications:788-2,1915,Repert. Spec. Nov. Regni Veg. 13: 566. 1915 ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:3272-1
urn:lsid:ipni.org:names:3272-2,Acmispon floribundus,(Nutt.) A.Heller,spec.,Fabaceae,urn:lsid:ipni.org:names:124161-2,urn:lsid:ipni.org:names:30005790-2,urn:lsid:ipni.org:publications:10211-2,1914,Cat. N. Amer. Pl. (ed. 3) 205. 1914 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:3272-2
urn:lsid:ipni.org:names:3272-3,Eucalyptus parramattensis var. parramattensis,E.C.Hall,var.,Myrtaceae,,urn:lsid:ipni.org:names:60001016-3,,,- ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:3272-3
urn:lsid:ipni.org:names:327200-1,Brossaea oppositifolia,Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 387. 1891 [5 Nov 1891] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327200-1
urn:lsid:ipni.org:names:327200-2,Corrigiola,Kuntze,gen.,Illecebraceae,,urn:lsid:ipni.org:names:50019892-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 534. 1891 [5 Nov 1891] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327200-2
urn:lsid:ipni.org:names:327201-2,Corrigiola,L.,gen.,Molluginaceae,,urn:lsid:ipni.org:names:50016072-1,urn:lsid:ipni.org:publications:1071-2,1753,Sp. Pl. 1: 271. 1753 [1 May 1753] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327201-2
urn:lsid:ipni.org:names:327202-2,Furera,Bubani,gen.,Caryophyllaceae,,urn:lsid:ipni.org:names:30000815-2,urn:lsid:ipni.org:publications:1125-2,1901,Fl. Pyren. (Bubani) 3: 16. 1901 [Aug 1901] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327202-2
urn:lsid:ipni.org:names:342662-1,Croton heterodoxus,Baill.,spec.,Euphorbiaceae,,urn:lsid:ipni.org:names:15262-1,urn:lsid:ipni.org:publications:833-2,1864,Adansonia 4: 309. 1864 ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:342662-1
urn:lsid:ipni.org:names:327203-2,Polygonifolia,Fabr.,gen.,Molluginaceae,,urn:lsid:ipni.org:names:50016072-1,urn:lsid:ipni.org:publications:18224-2,1759,Enum. [Fabr.]. 29. 1759 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327203-2
urn:lsid:ipni.org:names:327204-2,Serpillaria,Heist. ex Fabr.,gen.,Illecebraceae,,urn:lsid:ipni.org:names:50019892-1,urn:lsid:ipni.org:publications:8823-2,1763,Enum. (ed.  2).  [Fabr.]. 54. 1763 [Sep-Dec 1763] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327204-2
urn:lsid:ipni.org:names:327205-2,Seseli hallii,A.Gray,spec.,Apiaceae,,urn:lsid:ipni.org:names:30059265-2,urn:lsid:ipni.org:publications:775-2,1870,Proc. Amer. Acad. Arts 8: 288. 1870 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327205-2
urn:lsid:ipni.org:names:327206-2,Liatris mucronata,DC.,spec.,Asteraceae,,urn:lsid:ipni.org:names:30001475-2,urn:lsid:ipni.org:publications:1051-2,1836,Prodr. [A. P. de Candolle] 5: 129. 1836 [1-10 Oct 1836] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327206-2
urn:lsid:ipni.org:names:327207-2,Silphium asperrimum,Hook.,spec.,Asteraceae,,urn:lsid:ipni.org:names:30003243-2,urn:lsid:ipni.org:publications:1246-2,1835,Companion Bot. Mag. 1: 99. 1835 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327207-2
urn:lsid:ipni.org:names:327208-1,Brossaea pyrolifolia,Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 387. 1891 [5 Nov 1891] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327208-1
urn:lsid:ipni.org:names:327208-2,Cladotrichium pilosum,Vogel,spec.,Caesalpiniaceae,,urn:lsid:ipni.org:names:327193-2,urn:lsid:ipni.org:publications:703-2,1837,Linnaea 11(3): 403. 1837 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327208-2
urn:lsid:ipni.org:names:327209-1,Brossaea pyrolodes,Kuntze,spec.,Ericaceae,,urn:lsid:ipni.org:names:14646-1,urn:lsid:ipni.org:publications:1063-2,1891,Revis. Gen. Pl. 2: 387. 1891 [5 Nov 1891] ,unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:327209-1
urn:lsid:ipni.org:names:327209-2,Cladotrichium epunctatum,Vogel,spec.,Caesalpiniaceae,,urn:lsid:ipni.org:names:327193-2,urn:lsid:ipni.org:publications:703-2,1837,Linnaea 11(3): 403. 1837 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327209-2
urn:lsid:ipni.org:names:32721-1,Talinella,Baill.,gen.,Portulacaceae,,urn:lsid:ipni.org:names:50000307-1,urn:lsid:ipni.org:publications:877-2,,"Bull. Mens. Soc. Linn. Paris i. (1886) 569, Pax, in Engl. & Pran1). Naturl.Pflanzenfam. iii. Ib (1889) 59. ",unknown,https://www.ipni.org/n/urn:lsid:ipni.org:names:32721-1
urn:lsid:ipni.org:names:32721-2,Bifrenaria wendlandiana,Cogn.,spec.,Orchidaceae,,urn:lsid:ipni.org:names:30005972-2,urn:lsid:ipni.org:publications:629-2,1902,Fl. Bras. (Martius) 3(5): 489. 1902 [15 Dec 1902] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:32721-2
urn:lsid:ipni.org:names:327210-2,Holoregmia viscida,Nees,spec.,Pedaliaceae,,urn:lsid:ipni.org:names:327223-2,urn:lsid:ipni.org:publications:648-2,1821,Flora 4: 300. 1821 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327210-2
urn:lsid:ipni.org:names:327211-2,Boehmeria burgeriana,"Wilmot-Dear, Friis & Kravtsova",spec.,Urticaceae,,urn:lsid:ipni.org:names:327224-2,urn:lsid:ipni.org:publications:987-2,2003,Kew Bull. 58(1): 213 (-218; fig.s. 1-3). 2003 [16 Apr 2003] ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327211-2
urn:lsid:ipni.org:names:327212-2,Verbena nubigena,Poepp.,spec.,Verbenaceae,,urn:lsid:ipni.org:names:330551-2,urn:lsid:ipni.org:publications:18768-2,1829,Not. Natur- Heilk. 23: 292 (adnote). 1829 ,tax. nov.,https://www.ipni.org/n/urn:lsid:ipni.org:names:327212-2
